Col1,Col2,Col3,Col4
WPU_TXLKE001.GenWatts,10/19/2019 00:00:10,8,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:00:20,34,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:00:30,38,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:00:40,20,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:00:50,36,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:01:00,43,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:01:10,58,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:01:20,14,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:01:30,96,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:01:40,65,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:01:50,37,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:02:00,80,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:02:10,94,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:02:20,76,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:02:30,94,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:02:40,60,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:02:50,76,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:03:00,34,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:03:10,56,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:03:20,78,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:03:30,24,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:03:40,52,WPU_TXLKE001.GenWatts01
WPU_TXLKE001.GenWattsNew,10/19/2019 00:03:50,71,WPU_TXLKE001.GenWattsNew01
WPU_TXLKE001.RotorRPM,10/19/2019 00:04:00,64,WPU_TXLKE001.RotorRPM01
WPU_TXLKE001.GenWatts,10/19/2019 00:04:10,19,WPU_TXLKE001.GenWatts01
